00d7-6d3b-dc6f   5     AP_CWB_ENTRADA    1/1      5G    11ac  78/86      -47   13    172.16.13.74     eterea                  2022-03-31'T'14:52:22-0300
00d7-6d3b-e1bf   3     AP_CWB_MEIO       1/1      5G    11ac  86/86      -43   13    172.16.13.70     eterea                  2022-03-31'T'14:52:22-0300
0a37-d4a0-4c9a   5     AP_CWB_ENTRADA    1/1      5G    11ac  156/192    -51   13    172.16.13.81     eterea                  2022-03-31'T'14:52:22-0300
103f-4474-deac   5     AP_CWB_ENTRADA    1/1      5G    11ac  6/96       -40   13    172.16.13.65     eterea                  2022-03-31'T'14:52:22-0300
2079-188b-a556   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -43   13    172.16.13.60     eterea                  2022-03-31'T'14:52:22-0300
2a87-d116-a3b9   3     AP_CWB_MEIO       1/1      5G    11ac  86/86      -58   13    172.16.13.64     eterea                  2022-03-31'T'14:52:22-0300
2ac6-e8b9-3672   4     AP_CWB_REUNIAO    1/4      5G    11ac  52/57      -60   400   172.16.250.100   41_Roost_Omnidata       2022-03-31'T'14:52:22-0300
4a02-8e45-86d3   6     AP_CWB_ESTOQUE_1  1/1      5G    11ac  78/78      -56   13    172.19.13.55     eterea                  2022-03-31'T'14:52:22-0300
5ccd-5bf3-c091   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -47   13    172.16.13.72     eterea                  2022-03-31'T'14:52:22-0300
5ccd-5bf3-c0b9   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -36   13    172.16.13.76     eterea                  2022-03-31'T'14:52:22-0300
5ccd-5bf3-c58c   5     AP_CWB_ENTRADA    1/1      5G    11ac  26/173     -47   13    172.16.13.69     eterea                  2022-03-31'T'14:52:22-0300
5ccd-5bf3-c5a0   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -44   13    172.16.13.59     eterea                  2022-03-31'T'14:52:22-0300
5cea-1dd8-4227   3     AP_CWB_MEIO       1/1      5G    11ac  192/192    -53   13    172.16.13.77     eterea                  2022-03-31'T'14:52:22-0300
60ab-67c4-61d0   4     AP_CWB_REUNIAO    1/1      5G    11ac  78/96      -56   13    172.16.13.50     eterea                  2022-03-31'T'14:52:22-0300
60d8-19d4-e8ea   6     AP_CWB_ESTOQUE_1  0/1      2.4G  11n   72/72      -35   13    172.19.13.56     eterea                  2022-03-31'T'14:52:22-0300
6256-e3ca-e308   4     AP_CWB_REUNIAO    1/4      5G    11ac  144/130    -63   400   172.16.250.102   41_Roost_Omnidata       2022-03-31'T'14:52:22-0300
6616-2ec5-1f96   3     AP_CWB_MEIO       1/1      5G    11ac  173/130    -66   13    172.16.13.56     eterea                  2022-03-31'T'14:52:22-0300
7c8b-b531-3c4f   4     AP_CWB_REUNIAO    0/1      2.4G  11n   72/58      -55   13    172.16.13.53     eterea                  2022-03-31'T'14:52:22-0300
7ce9-d3d6-5b31   5     AP_CWB_ENTRADA    0/1      2.4G  11n   65/65      -46   13    172.16.13.63     eterea                  2022-03-31'T'14:52:22-0300
7e09-131c-a6c6   3     AP_CWB_MEIO       1/1      5G    11ac  173/192    -51   13    172.16.13.55     eterea                  2022-03-31'T'14:52:22-0300
8056-f2f2-1897   7     AP_CWB_ESTOQUE_2  0/1      2.4G  11n   72/72      -41   13    172.19.13.57     eterea                  2022-03-31'T'14:52:22-0300
8a1e-d045-724c   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -55   13    172.16.13.54     eterea                  2022-03-31'T'14:52:22-0300
9cb7-0d9f-7570   1     AP_BSB_ENGENHARIA 0/4      2.4G  11n   65/61      -46   400   10.10.17.102     61_Roost_Omnidata       2022-03-31'T'14:52:22-0300
a816-d031-88c1   0     AP_BSB_REUNIAO    0/1      2.4G  11n   65/71      -39   13    172.17.13.21     eterea                  2022-03-31'T'14:52:22-0300
aadd-27d7-b79c   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -47   13    172.16.13.66     eterea                  2022-03-31'T'14:52:22-0300
b83b-cc03-7e9b   3     AP_CWB_MEIO       1/1      5G    11ac  96/96      -56   13    172.16.13.73     eterea                  2022-03-31'T'14:52:22-0300
bab2-c64f-295d   3     AP_CWB_MEIO       1/1      5G    11ac  173/192    -48   13    172.16.13.52     eterea                  2022-03-31'T'14:52:22-0300
dc53-600d-abfb   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -51   13    172.16.13.58     eterea                  2022-03-31'T'14:52:22-0300
