0045-e269-97bb   4     AP_CWB_REUNIAO    1/1      5G    11ac  173/173    -52   13    172.16.13.76     eterea                  15/03/2022 16:19
00d7-6d3b-dc6f   4     AP_CWB_REUNIAO    1/1      5G    11ac  86/86      -50   13    172.16.13.74     eterea                  15/03/2022 16:19
00d7-6d3b-e1bf   4     AP_CWB_REUNIAO    1/1      5G    11ac  86/86      -53   13    172.16.13.73     eterea                  15/03/2022 16:19
0a37-d4a0-4c9a   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -56   13    172.16.13.69     eterea                  15/03/2022 16:19
0e46-2139-e445   6     AP_CWB_ESTOQUE_1  1/1      5G    11ac  96/96      -48   13    172.19.13.53     eterea                  15/03/2022 16:19
1e6a-8462-2e47   0     AP_BSB_REUNIAO    1/1      5G    11ac  156/78     -47   13    172.17.13.24     eterea                  15/03/2022 16:19
28d0-eabb-5675   0     AP_BSB_REUNIAO    1/1      5G    11ac  173/78     -46   13    172.17.13.25     eterea                  15/03/2022 16:19
2a87-d116-a3b9   5     AP_CWB_ENTRADA    1/1      5G    11ac  86/86      -51   13    172.16.13.63     eterea                  15/03/2022 16:19
2ac6-e8b9-3672   3     AP_CWB_MEIO       1/4      5G    11ac  96/86      -52   400   172.16.250.145   41_Roost_Omnidata       15/03/2022 16:19
4a02-8e45-86d3   6     AP_CWB_ESTOQUE_1  1/1      5G    11ac  78/86      -43   13    172.19.13.55     eterea                  15/03/2022 16:19
50eb-71c2-1a9b   3     AP_CWB_MEIO       1/1      5G    11ac  86/86      -40   13    172.16.13.56     eterea                  15/03/2022 16:19
5ae8-8799-9052   4     AP_CWB_REUNIAO    0/4      2.4G  11n   72/72      -60   400   172.16.250.143   41_Roost_Omnidata       15/03/2022 16:19
5ccd-5bf3-c091   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -43   13    172.16.13.72     eterea                  15/03/2022 16:19
5ccd-5bf3-c1bd   4     AP_CWB_REUNIAO    1/1      5G    11ac  173/173    -52   13    172.16.13.53     eterea                  15/03/2022 16:19
5ccd-5bf3-c58c   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -57   13    172.16.13.67     eterea                  15/03/2022 16:19
5cea-1dd8-4227   3     AP_CWB_MEIO       1/1      5G    11ac  192/192    -56   13    172.16.13.62     eterea                  15/03/2022 16:19
5e79-0a7e-90b8   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -60   13    172.16.13.51     eterea                  15/03/2022 16:19
60ab-67c4-61d0   3     AP_CWB_MEIO       1/4      5G    11ac  78/96      -51   400   172.16.250.107   41_Roost_Omnidata       15/03/2022 16:19
60d8-19d4-e8ea   6     AP_CWB_ESTOQUE_1  0/1      2.4G  11n   72/72      -40   13    172.19.13.56     eterea                  15/03/2022 16:19
7c8b-b531-3c4f   3     AP_CWB_MEIO       0/1      2.4G  11n   52/52      -70   13    172.16.13.59     eterea                  15/03/2022 16:19
7e09-131c-a6c6   3     AP_CWB_MEIO       1/1      5G    11ac  173/192    -45   13    172.16.13.60     eterea                  15/03/2022 16:19
8af2-8400-f361   3     AP_CWB_MEIO       1/1      5G    11ac  39/58      -55   13    172.16.13.66     eterea                  15/03/2022 16:19
9cb7-0d9f-7570   2     AP_BSB_COMERCIAL  0/4      2.4G  11n   65/64      -46   400   10.10.17.102     61_Roost_Omnidata       15/03/2022 16:19
a483-e73f-ec23   1     AP_BSB_ENGENHARIA 1/1      5G    11ac  173/144    -51   13    172.17.13.22     eterea                  15/03/2022 16:19
a6fd-c54d-712e   5     AP_CWB_ENTRADA    1/1      5G    11ac  78/173     -60   13    172.16.13.65     eterea                  15/03/2022 16:19
b6f0-6d6e-e1b6   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/173    -64   13    172.16.13.75     eterea                  15/03/2022 16:19
b83b-cc03-7e9b   3     AP_CWB_MEIO       1/1      5G    11ac  96/96      -55   13    172.16.13.57     eterea                  15/03/2022 16:19
ca01-740a-cbcc   2     AP_BSB_COMERCIAL  1/1      5G    11ac  78/72      -47   13    172.17.13.21     eterea                  15/03/2022 16:19
dc53-600d-abfb   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -52   13    172.16.13.71     eterea                  15/03/2022 16:19
