0045-e269-97bb   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -32   13    172.16.13.78     eterea                  10/03/2022 14:19
00d7-6d3b-dc6f   3     AP_CWB_MEIO       1/1      5G    11ac  86/86      -39   13    172.16.13.53     eterea                  10/03/2022 14:19
0a37-d4a0-4c9a   5     AP_CWB_ENTRADA    1/1      5G    11ac  156/192    -48   13    172.16.13.83     eterea                  10/03/2022 14:19
0e46-2139-e445   6     AP_CWB_ESTOQUE_1  1/1      5G    11ac  96/86      -51   13    172.19.13.53     eterea                  10/03/2022 14:19
103f-4474-deac   5     AP_CWB_ENTRADA    1/1      5G    11ac  96/96      -53   13    172.16.13.62     eterea                  10/03/2022 14:19
2a87-d116-a3b9   7     AP_CWB_ESTOQUE_2  1/1      5G    11ac  86/86      -55   13    172.19.13.54     eterea                  10/03/2022 14:19
2ac6-e8b9-3672   4     AP_CWB_REUNIAO    1/4      5G    11ac  6/86       -63   400   172.16.250.145   41_Roost_Omnidata       10/03/2022 14:19
2ee3-083c-600c   5     AP_CWB_ENTRADA    1/1      5G    11ac  96/65      -49   13    172.16.13.79     eterea                  10/03/2022 14:19
38f9-d39a-7206   4     AP_CWB_REUNIAO    1/1      5G    11ac  260/260    -56   13    172.16.13.84     eterea                  10/03/2022 14:19
3c22-fb3d-e658   3     AP_CWB_MEIO       1/1      5G    11ac  260/216    -48   13    172.16.13.77     eterea                  10/03/2022 14:19
5ae8-8799-9052   4     AP_CWB_REUNIAO    0/4      2.4G  11n   58/72      -64   400   172.16.250.143   41_Roost_Omnidata       10/03/2022 14:19
5ccd-5bf3-c091   3     AP_CWB_MEIO       0/1      2.4G  11n   130/144    -44   13    172.16.13.72     eterea                  10/03/2022 14:19
5ccd-5bf3-c0b9   3     AP_CWB_MEIO       1/1      5G    11ac  173/144    -57   13    172.16.13.81     eterea                  10/03/2022 14:19
5ccd-5bf3-c1bd   3     AP_CWB_MEIO       1/1      5G    11ac  173/173    -55   13    172.16.13.56     eterea                  10/03/2022 14:19
5ccd-5bf3-c58c   3     AP_CWB_MEIO       0/1      2.4G  11n   144/117    -51   13    172.16.13.69     eterea                  10/03/2022 14:19
5cea-1dd8-4227   5     AP_CWB_ENTRADA    1/1      5G    11ac  192/192    -48   13    172.16.13.74     eterea                  10/03/2022 14:19
5e79-0a7e-90b8   3     AP_CWB_MEIO       1/1      5G    11ac  173/192    -58   13    172.16.13.57     eterea                  10/03/2022 14:19
5ef7-7d86-3468   7     AP_CWB_ESTOQUE_2  0/1      2.4G  -     -/-        -     13    -                eterea                  10/03/2022 14:19
60ab-67c4-61d0   3     AP_CWB_MEIO       1/4      5G    11ac  78/96      -48   400   172.16.250.107   41_Roost_Omnidata       10/03/2022 14:19
64a2-001e-7f99   3     AP_CWB_MEIO       0/4      2.4G  11n   78/86      -47   400   172.16.250.102   41_Roost_Omnidata       10/03/2022 14:19
6616-2ec5-1f96   3     AP_CWB_MEIO       1/1      5G    11ac  173/192    -60   13    172.16.13.60     eterea                  10/03/2022 14:19
7c8b-b531-3c4f   3     AP_CWB_MEIO       0/1      2.4G  11n   52/72      -42   13    172.16.13.61     eterea                  10/03/2022 14:19
7e09-131c-a6c6   3     AP_CWB_MEIO       1/1      5G    11ac  173/192    -60   13    172.16.13.70     eterea                  10/03/2022 14:19
8056-f2f2-4ef1   7     AP_CWB_ESTOQUE_2  0/1      2.4G  11n   72/58      -48   13    172.19.13.62     eterea                  10/03/2022 14:19
8a48-84db-2baa   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -52   13    172.16.13.76     eterea                  10/03/2022 14:19
8af2-8400-f361   4     AP_CWB_REUNIAO    1/1      5G    11ac  96/96      -63   13    172.16.13.68     eterea                  10/03/2022 14:19
9cb7-0d9f-7570   2     AP_BSB_COMERCIAL  0/4      2.4G  11n   65/64      -48   400   10.10.17.102     61_Roost_Omnidata       10/03/2022 14:19
a483-e73f-ec23   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -53   13    172.16.13.52     eterea                  10/03/2022 14:19
a6fd-c54d-712e   5     AP_CWB_ENTRADA    1/1      5G    11ac  156/130    -67   13    172.16.13.67     eterea                  10/03/2022 14:19
aadd-27d7-b79c   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -53   13    172.16.13.64     eterea                  10/03/2022 14:19
b6f0-6d6e-e1b6   4     AP_CWB_REUNIAO    1/1      5G    11ac  192/192    -63   13    172.16.13.90     eterea                  10/03/2022 14:19
b83b-cc03-7e9b   7     AP_CWB_ESTOQUE_2  1/1      5G    11ac  96/96      -52   13    172.19.13.52     eterea                  10/03/2022 14:19
c461-8b44-1032   3     AP_CWB_MEIO       1/1      5G    11ac  86/96      -52   13    172.16.13.89     eterea                  10/03/2022 14:19
ca01-740a-cbcc   5     AP_CWB_ENTRADA    1/1      5G    11ac  78/96      -59   13    172.16.13.51     eterea                  10/03/2022 14:19
dc53-600d-abfb   4     AP_CWB_REUNIAO    1/1      5G    11ac  173/173    -63   13    172.16.13.71     eterea                  10/03/2022 14:19
dee4-fc16-ef0e   5     AP_CWB_ENTRADA    1/1      5G    11ac  173/192    -47   13    172.16.13.82     eterea                  10/03/2022 14:19
f2b9-7d11-182b   4     AP_CWB_REUNIAO    1/4      5G    11ac  192/173    -47   400   172.16.250.109   41_Roost_Omnidata       10/03/2022 14:19
