UserID,Username,MAC,Status,AP_ID,AP_NAME,RF/WLAN,BAND,Type,RX/TX,RSSI,VLAN,IPADDRESS_y,SSID,DATA_y,HORA_y
4809,guilherme.carvalho,5e79-0a7e-90b8,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,173/192,-59,13,172.16.13.53,eterea,21/03/2022,15:52
5074,16-C4-B9-90-4D-62,16c4-b990-4d62,Success,3,AP_CWB_MEIO,1/4,5G,11ac,173/173,-47,400,172.16.250.118,41_Roost_Omnidata,21/03/2022,15:52
5135,rogerio.gomes,687d-6bca-12ad,Success,7,AP_CWB_ESTOQUE_2,1/1,5G,11ac,96/72,-54,13,172.19.13.59,eterea,21/03/2022,15:52
5139,jean.tiburski@redis...,6616-2ec5-1f96,Success,3,AP_CWB_MEIO,1/1,5G,11ac,173/192,-55,13,172.16.13.56,eterea,21/03/2022,15:52
5198,redisul\claudinei,fc64-3aa4-f9f8,Success,6,AP_CWB_ESTOQUE_1,0/1,2.4G,11n,72/52,-53,13,172.19.13.58,eterea,21/03/2022,15:52
5281,branco,4a02-8e45-86d3,Success,6,AP_CWB_ESTOQUE_1,1/1,5G,11ac,78/86,-36,13,172.19.13.55,eterea,21/03/2022,15:52
5362,2ac6e8b93672,2ac6-e8b9-3672,Pre-authen,3,AP_CWB_MEIO,1/4,5G,11ac,96/96,-57,400,172.16.250.145,41_Roost_Omnidata,21/03/2022,15:52
5378,12-9B-0F-A6-D7-62,129b-0fa6-d762,Success,0,AP_BSB_REUNIAO,0/4,2.4G,11n,113/123,-51,400,10.10.17.109,61_Roost_Omnidata,21/03/2022,15:52
5382,REDISUL\maycon.bras...,5ccd-5bf3-c091,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,6/173,-48,13,172.16.13.72,eterea,21/03/2022,15:52
5404,marcos.junior,2a87-d116-a3b9,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,86/86,-51,13,172.16.13.64,eterea,21/03/2022,15:52
5420,stephany.rios,60ab-67c4-61d0,Success,3,AP_CWB_MEIO,1/1,5G,11ac,78/96,-51,13,172.16.13.52,eterea,21/03/2022,15:52
5439,REDISUL\branco,60d8-19d4-e8ea,Success,6,AP_CWB_ESTOQUE_1,0/1,2.4G,11n,65/72,-35,13,172.19.13.56,eterea,21/03/2022,15:52
5454,gabriel.rocha,5ccd-5bf3-c5a0,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,173/130,-47,13,172.16.13.58,eterea,21/03/2022,15:52
5473,fabricio.santana,b83b-cc03-7e9b,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,96/72,-58,13,172.16.13.60,eterea,21/03/2022,15:52
5483,64-A2-00-1E-7F-99,64a2-001e-7f99,Success,5,AP_CWB_ENTRADA,0/4,2.4G,11n,78/86,-47,400,172.16.250.102,41_Roost_Omnidata,21/03/2022,15:52
5535,REDISUL\jean.tiburs...,6432-a843-f0da,Success,3,AP_CWB_MEIO,1/1,5G,11ac,86/86,-51,13,172.16.13.57,eterea,21/03/2022,15:52
5540,felipe,f430-8b83-3cb5,Success,6,AP_CWB_ESTOQUE_1,1/1,5G,11ac,96/86,-44,13,172.19.13.50,eterea,21/03/2022,15:52
5544,fabricio.santana,8056-f2f2-4ef1,Success,5,AP_CWB_ENTRADA,0/1,2.4G,11n,72/72,-52,13,172.16.13.71,eterea,21/03/2022,15:52
5571,56-42-E7-9D-40-E8,5642-e79d-40e8,Success,5,AP_CWB_ENTRADA,0/4,2.4G,11n,96/96,-44,400,172.16.250.100,41_Roost_Omnidata,21/03/2022,15:52
5588,marina.oliveira,aadd-27d7-b79c,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,173/192,-53,13,172.16.13.65,eterea,21/03/2022,15:52
5635,luiz.rocha,bc6a-d1fb-b822,Success,1,AP_BSB_ENGENHARIA,1/1,5G,11ac,192/130,-40,13,172.17.13.21,eterea,21/03/2022,15:52
5659,REDISUL\rogerio.gom...,8056-f2f2-1ae3,Success,7,AP_CWB_ESTOQUE_2,0/1,2.4G,11n,72/72,-40,13,172.19.13.64,eterea,21/03/2022,15:52
5685,joao.feitosa,7ce9-d3d6-5b31,Success,5,AP_CWB_ENTRADA,0/1,2.4G,11n,65/58,-64,13,172.16.13.76,eterea,21/03/2022,15:52
5694,62-56-E3-CA-E3-08,6256-e3ca-e308,Success,5,AP_CWB_ENTRADA,1/4,5G,11ac,192/144,-58,400,172.16.250.103,41_Roost_Omnidata,21/03/2022,15:52
5723,andre,0e46-2139-e445,Success,6,AP_CWB_ESTOQUE_1,1/1,5G,11ac,96/96,-36,13,172.19.13.53,eterea,21/03/2022,15:52
5783,joao.feitosa,36c6-b432-42e2,Success,4,AP_CWB_REUNIAO,0/1,2.4G,11n,72/72,-52,13,172.16.13.54,eterea,21/03/2022,15:52
5787,michelle.mileki,7c8b-b531-3c4f,Success,4,AP_CWB_REUNIAO,0/1,2.4G,11n,72/52,-51,13,172.16.13.59,eterea,21/03/2022,15:52
5811,felipe,441c-a8bf-d83f,Success,6,AP_CWB_ESTOQUE_1,1/1,5G,11ac,192/192,-52,13,172.19.13.60,eterea,21/03/2022,15:52
5834,maycon.brasil,0a37-d4a0-4c9a,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,156/192,-55,13,172.16.13.68,eterea,21/03/2022,15:52
5852,9cb70d9f7570,9cb7-0d9f-7570,Pre-authen,1,AP_BSB_ENGENHARIA,0/4,2.4G,11n,65/64,-43,400,10.10.17.102,61_Roost_Omnidata,21/03/2022,15:52
5854,edelber.gajardone,5ccd-5b0b-f67b,Success,2,AP_BSB_COMERCIAL,1/1,5G,11ac,86/86,-27,13,172.17.13.20,eterea,21/03/2022,15:52
5912,joao.feitosa,103f-4474-deac,Success,5,AP_CWB_ENTRADA,1/1,5G,11ac,96/96,-60,13,172.16.13.63,eterea,21/03/2022,15:52
